tile,ra,dec,star_ra,star_dec,mag,radius,class,tileRA,tileDec,ra_transform,radist,decdist
129.0_1.5,129.491411529793,1.67319618695903,129.450300699096,1.65870682582733,7.99996901,3.05492111321551,2,129,1.5,129.491411529793,0.491579981975337,0.17319618695903
129.0_1.5,128.961217586342,2.02637546956257,128.964208111682,1.98578647492607,8.49463272,3.05492111321551,2,129,1.5,128.961217586342,0.0387957079781776,0.52637546956257
129.0_-0.5,129.411517856773,-0.565918187761679,129.37902348672,-0.56071314027432,9.51882076,3.05492111321551,2,129,-0.5,129.411517856773,0.411533526708691,0.065918187761679
129.0_-0.5,128.845705592187,-0.784577030686908,128.858014200714,-0.761875318316248,9.46971321,3.05492111321551,2,129,-0.5,128.845705592187,0.15430028309499,0.284577030686908
129.0_-0.5,128.599658578289,-0.745206319660518,128.631040557068,-0.725985077233832,7.09603071,3.05492111321551,2,129,-0.5,128.599658578289,0.400356666066087,0.245206319660518
129.0_-0.5,129.146898475395,-0.908806578902825,129.13541120408,-0.876838431686047,9.55388355,3.05492111321551,2,129,-0.5,129.146898475395,0.146904069051816,0.408806578902825
129.0_-0.5,129.046644771987,-0.615802815840122,129.042682951165,-0.605966986709476,9.34469032,3.05492111321551,2,129,-0.5,129.046644771987,0.0466465481446108,0.115802815840122
129.0_-0.5,128.962391337231,-0.479367749181958,128.965087685141,-0.480846975569582,8.17676163,3.05492111321551,2,129,-0.5,128.962391337231,0.0376100948461708,0.020632250818042
129.0_-0.5,128.933604681227,-0.43400849036787,128.939221603995,-0.439591251620031,7.98949242,3.05492111321551,2,129,-0.5,128.933604681227,0.0663978469995638,0.06599150963213
129.0_-0.5,129.398023926095,-0.430705272825667,129.36659970506,-0.436176131938641,8.23161697,3.05492111321551,2,129,-0.5,129.398023926095,0.398039082203583,0.069294727174333
129.0_-0.5,128.496931522385,-0.535102468322552,128.53618581295,-0.532363432679529,9.14963913,3.05492111321551,2,129,-0.5,128.496931522385,0.503087633650531,0.035102468322552
129.0_-1.5,129.529883637038,-1.897589795095,129.488244585508,-1.86634659223179,9.29457474,3.05492111321551,2,129,-1.5,129.529883637038,0.530065277169822,0.397589795095
129.0_-1.5,129.027094427646,-1.72667236453169,129.024878919413,-1.70813739135291,8.39064217,3.05492111321551,2,129,-1.5,129.027094427646,0.0271037154123471,0.22667236453169
129.0_-1.5,129.05358343424,-1.57079399113887,129.049134274146,-1.56491579753717,9.40937233,3.05492111321551,2,129,-1.5,129.05358343424,0.0536018022389032,0.07079399113887
129.0_-1.5,129.48796702423,-1.61304695722616,129.446470540041,-1.60343349762709,7.98159409,3.05492111321551,2,129,-1.5,129.48796702423,0.488134295661685,0.11304695722616
129.0_-1.5,129.421267612001,-1.30110213264023,129.386558505465,-1.31748973774296,9.09435177,3.05492111321551,2,129,-1.5,129.421267612001,0.421412019375043,0.19889786735977
129.0_-1.5,128.468377873033,-1.57489120808563,128.512807232436,-1.5686323105879,7.31069517,3.05492111321551,2,129,-1.5,128.468377873033,0.531804363040097,0.0748912080856301
129.0_-1.5,128.700276094115,-1.16091104992134,128.72402240113,-1.18777614194706,9.14139843,3.05492111321551,2,129,-1.5,128.700276094115,0.299826648989274,0.33908895007866
129.0_-1.5,129.472123492112,-1.09761492186137,129.435136791317,-1.12913823459213,8.0154295,3.05492111321551,2,129,-1.5,129.472123492112,0.472285332499849,0.40238507813863
129.4_2.5,128.991945497872,2.01115639910828,129.023318707781,2.04874106690036,7.99027586,3.05492111321551,2,129.4,2.5,128.991945497872,0.408443249598014,0.48884360089172
129.4_2.5,129.803956222288,2.11171271684331,129.772571443921,2.14188012027052,7.95930958,3.05492111321551,2,129.4,2.5,129.803956222288,0.404341065387607,0.38828728315669
129.4_2.5,129.597351011427,2.42443263597898,129.580857653225,2.4307480817128,9.41394711,3.05492111321551,2,129.4,2.5,129.597351011427,0.197539024807555,0.0755673640210199
129.4_2.5,129.55105496466,2.51314238850221,129.538224665732,2.51202610097404,9.45606232,3.05492111321551,2,129.4,2.5,129.55105496466,0.151198872483683,0.0131423885022102
129.4_2.5,129.731761749114,2.7596242370931,129.705671696469,2.73920714551551,9.24320221,3.05492111321551,2,129.4,2.5,129.731761749114,0.332077813610146,0.2596242370931
12.0_-34.1,11.7397146275716,-34.609529944567,11.7596786070854,-34.5704488188007,9.03635502,3.05492111321551,2,12,-34.1,11.7397146275716,0.314331409856822,0.509529944566999
